w_bin,q2_bin,w,q2,xs_bosted,xs_keppel
39,3,1.86225e+00,2.32500e+00,1.15030e-02,4.44536e-03
40,3,1.88075e+00,2.32500e+00,1.14168e-02,4.49599e-03
41,3,1.89925e+00,2.32500e+00,1.12993e-02,4.54575e-03
42,3,1.91775e+00,2.32500e+00,1.11478e-02,4.59350e-03
43,3,1.93625e+00,2.32500e+00,1.09653e-02,4.63852e-03
44,3,1.95475e+00,2.32500e+00,1.07581e-02,4.68024e-03
45,3,1.97325e+00,2.32500e+00,1.05340e-02,4.71827e-03
46,3,1.99175e+00,2.32500e+00,1.03006e-02,4.75234e-03
47,3,2.01025e+00,2.32500e+00,1.00639e-02,4.78221e-03
48,3,2.02875e+00,2.32500e+00,9.82813e-03,4.80773e-03
49,3,2.04725e+00,2.32500e+00,9.59566e-03,4.82876e-03
50,3,2.06575e+00,2.32500e+00,9.36761e-03,4.84521e-03
51,3,2.08425e+00,2.32500e+00,9.14410e-03,4.85702e-03
52,3,2.10275e+00,2.32500e+00,8.92474e-03,4.86413e-03
53,3,2.12125e+00,2.32500e+00,8.70881e-03,4.86652e-03
54,3,2.13975e+00,2.32500e+00,8.49553e-03,4.86417e-03
55,3,2.15825e+00,2.32500e+00,8.28416e-03,4.85707e-03
56,3,2.17675e+00,2.32500e+00,8.07401e-03,4.84524e-03
57,3,2.19525e+00,2.32500e+00,7.86454e-03,4.82870e-03
58,3,2.21375e+00,2.32500e+00,7.65532e-03,4.80747e-03
59,3,2.23225e+00,2.32500e+00,7.44602e-03,4.78159e-03
60,3,2.25075e+00,2.32500e+00,7.23645e-03,4.75109e-03
61,3,2.26925e+00,2.32500e+00,7.02649e-03,4.71604e-03
62,3,2.28775e+00,2.32500e+00,6.81609e-03,4.67648e-03
63,3,2.30625e+00,2.32500e+00,6.60527e-03,4.63247e-03
64,3,2.32475e+00,2.32500e+00,6.39411e-03,4.58408e-03
65,3,2.34325e+00,2.32500e+00,6.18272e-03,4.53137e-03
66,3,2.36175e+00,2.32500e+00,5.97125e-03,4.47441e-03
